s1,s2,money1,money2,ordersComplete1,ordersComplete2,empty_empty,empty_full,full_empty,full_full,whole_order,whole_order_partner
allCoop,allDef,226,226,0,21,-1,1,1,-2,6,6
allCoop,allDef,190,190,0,15,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,232,232,0,22,-1,1,1,-2,6,6
allCoop,allDef,202,202,0,17,-1,1,1,-2,6,6
allCoop,allDef,202,202,0,17,-1,1,1,-2,6,6
allCoop,allDef,226,226,0,21,-1,1,1,-2,6,6
allCoop,allDef,232,232,0,22,-1,1,1,-2,6,6
allCoop,allDef,244,244,0,24,-1,1,1,-2,6,6
allCoop,allDef,208,208,0,18,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,226,226,0,21,-1,1,1,-2,6,6
allCoop,allDef,232,232,0,22,-1,1,1,-2,6,6
allCoop,allDef,244,244,0,24,-1,1,1,-2,6,6
allCoop,allDef,202,202,0,17,-1,1,1,-2,6,6
allCoop,allDef,214,214,0,19,-1,1,1,-2,6,6
allCoop,allDef,226,226,0,21,-1,1,1,-2,6,6
allCoop,allDef,202,202,0,17,-1,1,1,-2,6,6
allCoop,allDef,202,202,0,17,-1,1,1,-2,6,6
allCoop,allDef,208,208,0,18,-1,1,1,-2,6,6
allCoop,allDef,226,226,0,21,-1,1,1,-2,6,6
allCoop,allDef,214,214,0,19,-1,1,1,-2,6,6
allCoop,allDef,202,202,0,17,-1,1,1,-2,6,6
allCoop,allDef,256,256,0,26,-1,1,1,-2,6,6
allCoop,allDef,232,232,0,22,-1,1,1,-2,6,6
allCoop,allDef,202,202,0,17,-1,1,1,-2,6,6
allCoop,allDef,238,238,0,23,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,208,208,0,18,-1,1,1,-2,6,6
allCoop,allDef,208,208,0,18,-1,1,1,-2,6,6
allCoop,allDef,232,232,0,22,-1,1,1,-2,6,6
allCoop,allDef,232,232,0,22,-1,1,1,-2,6,6
allCoop,allDef,226,226,0,21,-1,1,1,-2,6,6
allCoop,allDef,226,226,0,21,-1,1,1,-2,6,6
allCoop,allDef,232,232,0,22,-1,1,1,-2,6,6
allCoop,allDef,244,244,0,24,-1,1,1,-2,6,6
allCoop,allDef,196,196,0,16,-1,1,1,-2,6,6
allCoop,allDef,202,202,0,17,-1,1,1,-2,6,6
allCoop,allDef,214,214,0,19,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,226,226,0,21,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,214,214,0,19,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,238,238,0,23,-1,1,1,-2,6,6
allCoop,allDef,226,226,0,21,-1,1,1,-2,6,6
allCoop,allDef,202,202,0,17,-1,1,1,-2,6,6
allCoop,allDef,214,214,0,19,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,226,226,0,21,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,214,214,0,19,-1,1,1,-2,6,6
allCoop,allDef,214,214,0,19,-1,1,1,-2,6,6
allCoop,allDef,214,214,0,19,-1,1,1,-2,6,6
allCoop,allDef,208,208,0,18,-1,1,1,-2,6,6
allCoop,allDef,202,202,0,17,-1,1,1,-2,6,6
allCoop,allDef,232,232,0,22,-1,1,1,-2,6,6
allCoop,allDef,244,244,0,24,-1,1,1,-2,6,6
allCoop,allDef,226,226,0,21,-1,1,1,-2,6,6
allCoop,allDef,202,202,0,17,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,208,208,0,18,-1,1,1,-2,6,6
allCoop,allDef,232,232,0,22,-1,1,1,-2,6,6
allCoop,allDef,208,208,0,18,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,226,226,0,21,-1,1,1,-2,6,6
allCoop,allDef,214,214,0,19,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,allDef,220,220,0,20,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
allCoop,TitForTat,-100,-100,0,0,-1,1,1,-2,6,6
